"","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"5479","ASV_5479","k__Cryptista","p__Katablepharidophyta","c__Katablepharidophyta_cls_Incertae_sedis","o__Katablepharidophyta_ord_Incertae_sedis","f__Katablepharidophyta_fam_Incertae_sedis","g__Katablepharidophyta_gen_Incertae_sedis",NA
"5480","ASV_5480","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella","s__carminei"
"5481","ASV_5481","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Acrospermales","f__Acrospermales_fam_Incertae_sedis","g__Acrospermales_gen_Incertae_sedis",NA
"5482","ASV_5482","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Parastagonospora","s__nodorum"
"5483","ASV_5483",NA,NA,NA,NA,NA,NA,NA
"5484","ASV_5484","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"5485","ASV_5485","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"5486","ASV_5486","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Remotididymella","s__bauhiniae"
"5487","ASV_5487","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Naviculales","f__Naviculaceae","g__Navicula","s__trivialis"
"5488","ASV_5488","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthaceae","g__Pseudohalonectria","s__lignicola"
"5489","ASV_5489","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Castanediellaceae","g__Castanediella",NA
"5490","ASV_5490","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"5491","ASV_5491","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"5492","ASV_5492","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__plagioporus"
"5493","ASV_5493","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","s__paraflava"
"5494","ASV_5494",NA,NA,NA,NA,NA,NA,NA
"5495","ASV_5495","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Porocercospora","s__seminalis"
"5496","ASV_5496",NA,NA,NA,NA,NA,NA,NA
"5497","ASV_5497","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae",NA,NA
"5498","ASV_5498","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Genolevuria",NA
"5499","ASV_5499","k__Fungi",NA,NA,NA,NA,NA,NA
"5500","ASV_5500","k__Fungi",NA,NA,NA,NA,NA,NA
"5501","ASV_5501","k__Stramenopila","p__Bicosoecida","c__Bicosoecida_cls_Incertae_sedis","o__Bicosoecida_ord_Incertae_sedis","f__Cafeteriaceae","g__Cafeteria","s__roenbergensis"
"5502","ASV_5502","k__Fungi",NA,NA,NA,NA,NA,NA
"5503","ASV_5503",NA,NA,NA,NA,NA,NA,NA
"5504","ASV_5504","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Tulostoma","s__calcareum"
"5505","ASV_5505",NA,NA,NA,NA,NA,NA,NA
"5506","ASV_5506","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Glomerellaceae","g__Colletotrichum","s__diversisporum"
"5507","ASV_5507","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae",NA,NA
"5508","ASV_5508","k__Fungi",NA,NA,NA,NA,NA,NA
"5509","ASV_5509","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucorales_fam_Incertae_sedis","g__Mucorales_gen_Incertae_sedis",NA
"5510","ASV_5510",NA,NA,NA,NA,NA,NA,NA
"5511","ASV_5511","k__Fungi","p__Kickxellomycota","c__Ramicandelaberomycetes","o__Ramicandelaberales","f__Ramicandelaberaceae","g__Ramicandelaber",NA
"5512","ASV_5512",NA,NA,NA,NA,NA,NA,NA
"5513","ASV_5513",NA,NA,NA,NA,NA,NA,NA
"5514","ASV_5514",NA,NA,NA,NA,NA,NA,NA
"5515","ASV_5515","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Fonsecazyma","s__mujuensis"
"5516","ASV_5516","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Lachnocladiaceae","g__Dichostereum","s__pallescens"
"5517","ASV_5517",NA,NA,NA,NA,NA,NA,NA
"5518","ASV_5518","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA
"5519","ASV_5519","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Peltigerales","f__Pannariaceae","g__Pectenia",NA
"5520","ASV_5520",NA,NA,NA,NA,NA,NA,NA
"5521","ASV_5521",NA,NA,NA,NA,NA,NA,NA
"5522","ASV_5522","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__variegata"
"5523","ASV_5523",NA,NA,NA,NA,NA,NA,NA
"5524","ASV_5524",NA,NA,NA,NA,NA,NA,NA
"5525","ASV_5525","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Gastrosporiaceae","g__Gastrosporium","s__gossypinum"
"5526","ASV_5526",NA,NA,NA,NA,NA,NA,NA
"5527","ASV_5527","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"5528","ASV_5528","k__Fungi",NA,NA,NA,NA,NA,NA
"5529","ASV_5529",NA,NA,NA,NA,NA,NA,NA
"5530","ASV_5530","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__ngohengohe"
"5531","ASV_5531",NA,NA,NA,NA,NA,NA,NA
"5532","ASV_5532","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Efibula","s__gracilis"
"5533","ASV_5533",NA,NA,NA,NA,NA,NA,NA
"5534","ASV_5534",NA,NA,NA,NA,NA,NA,NA
"5535","ASV_5535",NA,NA,NA,NA,NA,NA,NA
"5536","ASV_5536","k__Fungi",NA,NA,NA,NA,NA,NA
"5537","ASV_5537","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellomycetes_ord_Incertae_sedis","f__Tremellomycetes_fam_Incertae_sedis","g__Tremellomycetes_gen_Incertae_sedis",NA
"5538","ASV_5538","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__sporulosa"
"5539","ASV_5539",NA,NA,NA,NA,NA,NA,NA
"5540","ASV_5540","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Fenestellaceae","g__Fenestella","s__media"
"5541","ASV_5541","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mytilinidales","f__Mytilinidales_fam_Incertae_sedis","g__Mytilinidales_gen_Incertae_sedis",NA
"5542","ASV_5542","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__eurysporus"
"5543","ASV_5543","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae",NA,NA
"5544","ASV_5544",NA,NA,NA,NA,NA,NA,NA
"5545","ASV_5545","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae",NA,NA
"5546","ASV_5546","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae",NA,NA
"5547","ASV_5547","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"5548","ASV_5548","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Trematosphaeriaceae","g__Trematosphaeria","s__pertusa"
"5549","ASV_5549",NA,NA,NA,NA,NA,NA,NA
"5550","ASV_5550","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe",NA
"5551","ASV_5551","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Naviculales","f__Naviculaceae","g__Navicula","s__cryptocephala"
"5552","ASV_5552","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Xylodon","s__hastifer"
"5553","ASV_5553","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Setomelanomma","s__holmii"
"5554","ASV_5554",NA,NA,NA,NA,NA,NA,NA
"5555","ASV_5555","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"5556","ASV_5556","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Spirosphaera","s__cupreorufescens"
"5557","ASV_5557",NA,NA,NA,NA,NA,NA,NA
"5558","ASV_5558",NA,NA,NA,NA,NA,NA,NA
"5559","ASV_5559","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae",NA,NA
"5560","ASV_5560",NA,NA,NA,NA,NA,NA,NA
"5561","ASV_5561",NA,NA,NA,NA,NA,NA,NA
"5562","ASV_5562","k__Fungi",NA,NA,NA,NA,NA,NA
"5563","ASV_5563","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","s__poagena"
"5564","ASV_5564","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Absidia","s__anomala"
"5565","ASV_5565",NA,NA,NA,NA,NA,NA,NA
"5566","ASV_5566",NA,NA,NA,NA,NA,NA,NA
"5567","ASV_5567","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales",NA,NA,NA
"5568","ASV_5568","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Mrakia","s__aquatica"
"5569","ASV_5569","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"5570","ASV_5570","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella",NA
"5571","ASV_5571","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11","f__GS11_fam_Incertae_sedis","g__GS11_gen_Incertae_sedis",NA
"5572","ASV_5572",NA,NA,NA,NA,NA,NA,NA
"5573","ASV_5573",NA,NA,NA,NA,NA,NA,NA
"5574","ASV_5574",NA,NA,NA,NA,NA,NA,NA
"5575","ASV_5575","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"5576","ASV_5576","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Paramycosphaerella",NA
"5577","ASV_5577","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Anteagloniaceae","g__Anteaglonium","s__gordoniae"
"5578","ASV_5578",NA,NA,NA,NA,NA,NA,NA
"5579","ASV_5579",NA,NA,NA,NA,NA,NA,NA
"5580","ASV_5580","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__pilosa"
"5581","ASV_5581","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Paulisebacina",NA
"5582","ASV_5582",NA,NA,NA,NA,NA,NA,NA
"5583","ASV_5583","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","s__taminensis"
"5584","ASV_5584","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"5585","ASV_5585",NA,NA,NA,NA,NA,NA,NA
"5586","ASV_5586","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__infirmominiatum"
"5587","ASV_5587",NA,NA,NA,NA,NA,NA,NA
"5588","ASV_5588",NA,NA,NA,NA,NA,NA,NA
"5589","ASV_5589","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Ploettnerulaceae",NA,NA
"5590","ASV_5590",NA,NA,NA,NA,NA,NA,NA
"5591","ASV_5591","k__Fungi","p__Aphelidiomycota","c__Aphelidiomycota_cls_Incertae_sedis","o__Aphelidiomycota_ord_Incertae_sedis","f__Aphelidiomycota_fam_Incertae_sedis","g__Aphelidiomycota_gen_Incertae_sedis",NA
"5592","ASV_5592","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Triscelophorus",NA
"5593","ASV_5593","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae",NA,NA
"5594","ASV_5594",NA,NA,NA,NA,NA,NA,NA
"5595","ASV_5595","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae","g__Eustigmatos",NA
"5596","ASV_5596",NA,NA,NA,NA,NA,NA,NA
"5597","ASV_5597",NA,NA,NA,NA,NA,NA,NA
"5598","ASV_5598",NA,NA,NA,NA,NA,NA,NA
"5599","ASV_5599",NA,NA,NA,NA,NA,NA,NA
"5600","ASV_5600","k__Fungi","p__Basidiomycota","c__Dacrymycetes","o__Dacrymycetales","f__Dacrymycetaceae","g__Dacryopinax","s__indacocheae"
"5601","ASV_5601","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina","s__flagelliformis"
"5602","ASV_5602",NA,NA,NA,NA,NA,NA,NA
"5603","ASV_5603",NA,NA,NA,NA,NA,NA,NA
"5604","ASV_5604",NA,NA,NA,NA,NA,NA,NA
"5605","ASV_5605",NA,NA,NA,NA,NA,NA,NA
"5606","ASV_5606","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"5607","ASV_5607",NA,NA,NA,NA,NA,NA,NA
"5608","ASV_5608",NA,NA,NA,NA,NA,NA,NA
"5609","ASV_5609",NA,NA,NA,NA,NA,NA,NA
"5610","ASV_5610","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__dunensis"
"5611","ASV_5611","k__Fungi",NA,NA,NA,NA,NA,NA
"5612","ASV_5612",NA,NA,NA,NA,NA,NA,NA
"5613","ASV_5613","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"5614","ASV_5614",NA,NA,NA,NA,NA,NA,NA
"5615","ASV_5615","k__Fungi",NA,NA,NA,NA,NA,NA
"5616","ASV_5616","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Discinellaceae","g__Discinellaceae_gen_Incertae_sedis",NA
"5617","ASV_5617",NA,NA,NA,NA,NA,NA,NA
"5618","ASV_5618","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Gomphales","f__Gomphaceae","g__Ramaria","s__beninensis"
"5619","ASV_5619","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae",NA,NA
"5620","ASV_5620",NA,NA,NA,NA,NA,NA,NA
"5621","ASV_5621",NA,NA,NA,NA,NA,NA,NA
"5622","ASV_5622",NA,NA,NA,NA,NA,NA,NA
"5623","ASV_5623","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Leptosphaeria","s__sclerotioides"
"5624","ASV_5624",NA,NA,NA,NA,NA,NA,NA
"5625","ASV_5625",NA,NA,NA,NA,NA,NA,NA
"5626","ASV_5626",NA,NA,NA,NA,NA,NA,NA
"5627","ASV_5627",NA,NA,NA,NA,NA,NA,NA
"5628","ASV_5628",NA,NA,NA,NA,NA,NA,NA
"5629","ASV_5629","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Pleurophoma",NA
"5630","ASV_5630","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Pseudocamarosporium","s__africanum"
"5631","ASV_5631","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Panaeolus",NA
"5632","ASV_5632",NA,NA,NA,NA,NA,NA,NA
"5633","ASV_5633","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Immotthia",NA
"5634","ASV_5634","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"5635","ASV_5635",NA,NA,NA,NA,NA,NA,NA
"5636","ASV_5636",NA,NA,NA,NA,NA,NA,NA
"5637","ASV_5637",NA,NA,NA,NA,NA,NA,NA
"5638","ASV_5638",NA,NA,NA,NA,NA,NA,NA
"5639","ASV_5639","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Plagiostoma",NA
"5640","ASV_5640","k__Fungi",NA,NA,NA,NA,NA,NA
"5641","ASV_5641",NA,NA,NA,NA,NA,NA,NA
"5642","ASV_5642","k__Fungi",NA,NA,NA,NA,NA,NA
"5643","ASV_5643",NA,NA,NA,NA,NA,NA,NA
"5644","ASV_5644",NA,NA,NA,NA,NA,NA,NA
"5645","ASV_5645",NA,NA,NA,NA,NA,NA,NA
"5646","ASV_5646","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"5647","ASV_5647","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucor","s__lusitanicus"
"5648","ASV_5648",NA,NA,NA,NA,NA,NA,NA
"5649","ASV_5649","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium","s__hasegawae"
"5650","ASV_5650","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Humicola","s__olivacea"
"5651","ASV_5651","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Peziza","s__fimeti"
"5652","ASV_5652",NA,NA,NA,NA,NA,NA,NA
"5653","ASV_5653","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__gossypii"
"5654","ASV_5654",NA,NA,NA,NA,NA,NA,NA
"5655","ASV_5655","k__Fungi","p__Mortierellomycota",NA,NA,NA,NA,NA
"5656","ASV_5656","k__Rhizaria","p__Rhizaria_phy_Incertae_sedis","c__Rhizaria_cls_Incertae_sedis","o__Rhizaria_ord_Incertae_sedis","f__Rhizaria_fam_Incertae_sedis","g__Rhizaria_gen_Incertae_sedis",NA
"5657","ASV_5657","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Acrospermales","f__Acrospermales_fam_Incertae_sedis","g__Phaeodactylium",NA
"5658","ASV_5658",NA,NA,NA,NA,NA,NA,NA
"5659","ASV_5659","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Sclerostagonospora",NA
"5660","ASV_5660","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Gomphales","f__Gomphaceae","g__Phaeoclavulina","s__minutispora"
"5661","ASV_5661","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"5662","ASV_5662","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"5663","ASV_5663",NA,NA,NA,NA,NA,NA,NA
"5664","ASV_5664",NA,NA,NA,NA,NA,NA,NA
"5665","ASV_5665",NA,NA,NA,NA,NA,NA,NA
"5666","ASV_5666","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"5667","ASV_5667","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Pseudoophiobolus","s__rosae"
"5668","ASV_5668",NA,NA,NA,NA,NA,NA,NA
"5669","ASV_5669","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Monacrosporium",NA
"5670","ASV_5670","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"5671","ASV_5671","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"5672","ASV_5672",NA,NA,NA,NA,NA,NA,NA
"5673","ASV_5673",NA,NA,NA,NA,NA,NA,NA
"5674","ASV_5674","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","s__fimbriatum"
"5675","ASV_5675",NA,NA,NA,NA,NA,NA,NA
"5676","ASV_5676",NA,NA,NA,NA,NA,NA,NA
"5677","ASV_5677",NA,NA,NA,NA,NA,NA,NA
"5678","ASV_5678",NA,NA,NA,NA,NA,NA,NA
"5679","ASV_5679","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus",NA
"5680","ASV_5680",NA,NA,NA,NA,NA,NA,NA
"5681","ASV_5681","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mytilinidales","f__Mytilinidales_fam_Incertae_sedis","g__Mytilinidales_gen_Incertae_sedis",NA
"5682","ASV_5682",NA,NA,NA,NA,NA,NA,NA
"5683","ASV_5683","k__Fungi",NA,NA,NA,NA,NA,NA
"5684","ASV_5684","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"5685","ASV_5685","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma",NA
"5686","ASV_5686",NA,NA,NA,NA,NA,NA,NA
"5687","ASV_5687",NA,NA,NA,NA,NA,NA,NA
"5688","ASV_5688","k__Fungi","p__Basidiomycota","c__Basidiomycota_cls_Incertae_sedis","o__Basidiomycota_ord_Incertae_sedis","f__Basidiomycota_fam_Incertae_sedis","g__Basidiomycota_gen_Incertae_sedis",NA
"5689","ASV_5689",NA,NA,NA,NA,NA,NA,NA
"5690","ASV_5690",NA,NA,NA,NA,NA,NA,NA
"5691","ASV_5691",NA,NA,NA,NA,NA,NA,NA
"5692","ASV_5692","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"5693","ASV_5693","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Thelidium",NA
"5694","ASV_5694",NA,NA,NA,NA,NA,NA,NA
"5695","ASV_5695",NA,NA,NA,NA,NA,NA,NA
"5696","ASV_5696",NA,NA,NA,NA,NA,NA,NA
"5697","ASV_5697",NA,NA,NA,NA,NA,NA,NA
"5698","ASV_5698","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Conocybe",NA
"5699","ASV_5699",NA,NA,NA,NA,NA,NA,NA
"5700","ASV_5700","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cryptocline","s__arctostaphyli"
"5701","ASV_5701","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Boubovia",NA
"5702","ASV_5702",NA,NA,NA,NA,NA,NA,NA
"5703","ASV_5703","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"5704","ASV_5704","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliomycetes_ord_Incertae_sedis","f__Orbiliomycetes_fam_Incertae_sedis","g__Orbiliomycetes_gen_Incertae_sedis",NA
"5705","ASV_5705","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma",NA
"5706","ASV_5706",NA,NA,NA,NA,NA,NA,NA
"5707","ASV_5707",NA,NA,NA,NA,NA,NA,NA
"5708","ASV_5708",NA,NA,NA,NA,NA,NA,NA
"5709","ASV_5709",NA,NA,NA,NA,NA,NA,NA
"5710","ASV_5710","k__Cryptista","p__Katablepharidophyta","c__Katablepharidophyta_cls_Incertae_sedis","o__Katablepharidophyta_ord_Incertae_sedis","f__Katablepharidophyta_fam_Incertae_sedis","g__Katablepharidophyta_gen_Incertae_sedis",NA
"5711","ASV_5711","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Efibula","s__gracilis"
"5712","ASV_5712","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriales_fam_Incertae_sedis","g__Dendrophoma",NA
"5713","ASV_5713","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__Endogonomycetes_ord_Incertae_sedis","f__Endogonomycetes_fam_Incertae_sedis","g__Endogonomycetes_gen_Incertae_sedis",NA
"5714","ASV_5714","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascodesmidaceae","g__Ascodesmidaceae_gen_Incertae_sedis",NA
"5715","ASV_5715","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"5716","ASV_5716","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Edenia","s__gomezpompae"
"5717","ASV_5717",NA,NA,NA,NA,NA,NA,NA
"5718","ASV_5718",NA,NA,NA,NA,NA,NA,NA
"5719","ASV_5719","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"5720","ASV_5720",NA,NA,NA,NA,NA,NA,NA
"5721","ASV_5721","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae",NA,NA
"5722","ASV_5722","k__Fungi","p__Basidiomycota","c__Agaricomycotina_cls_Incertae_sedis","o__Agaricomycotina_ord_Incertae_sedis","f__Agaricomycotina_fam_Incertae_sedis","g__Agaricomycotina_gen_Incertae_sedis",NA
"5723","ASV_5723","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"5724","ASV_5724",NA,NA,NA,NA,NA,NA,NA
"5725","ASV_5725","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Jahnulales","f__Aliquandostipitaceae","g__Ascagilis","s__thailandensis"
"5726","ASV_5726",NA,NA,NA,NA,NA,NA,NA
"5727","ASV_5727","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","s__martiniae"
"5728","ASV_5728",NA,NA,NA,NA,NA,NA,NA
"5729","ASV_5729",NA,NA,NA,NA,NA,NA,NA
"5730","ASV_5730","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"5731","ASV_5731","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__Sclerotinia",NA
