"","01m01_B","01m01_L","01m01_S","01m02_B","01m02_L","01m02_S","01m03_B","01m03_L","01m03_S","01m04_B","01m04_L","01m04_S","01m05_B","01m05_L","01m05_S","01m06_B","01m06_L","01m06_S","02m01_B","02m01_L","02m01_S","02m02_B","02m02_L","02m02_S","02m03_B","02m03_L","02m03_S","02m04_L","02m04_S","02m05_B","02m05_L","02m06_B","02m06_L","02m06_S","02m07_B","02m07_L","02m07_S","02m08_L","02m08_S","02m09_B","02m09_L","02m09_S","02m10_B","02m10_L","02m10_S","02m11_B","02m11_S","04m01_B","04m01_L","04m01_S","04m02_B","04m02_L","04m02_S","04m03_B","04m03_L","04m03_S","04m04_B","04m04_L","04m04_S","04m05_B","04m05_L","04m05_S","04m06_B","04m06_L","04m06_S","04m07_L","04m07_S","04m08_L","04m08_S","04m09_B","04m09_L","04m09_S","04m10_B","04m10_L","04m10_S","04m11_B","04m11_L","04m11_S","04m12_B","04m12_L","04m12_S","04m13_B","04m13_L","04m13_S","04t01_B","04t01_L","04t01_S","04t02_B","04t02_L","04t02_S","04w01_B","04w01_L","04w01_S","04w02_B","04w02_L","04w02_S","04w03_B","04w03_L","04w03_S","04w04_L","04w04_S","20m01_L","20m01_S","20m02_B","20m02_L","20m02_S","20m03_B","20m03_L","20m03_S","20m04_B","20m04_L","20m04_S","20m05_B","20m05_L","20m05_S","sfm01_B","sfm01_L","sfm01_S","sfm02_B","sfm02_L","sfm02_S","sfm03_B","sfm03_L","sfm03_S","sfm04_B","sfm04_L","sfm04_S","sfm05_B","sfm05_L","sfm05_S","sfm06_B","sfm06_L","sfm06_S","sfm07_B","sfm07_L","sfm07_S","Sft01_B","Sft01_L","Sft01_S","Sft02_B","Sft02_L","Sft02_S"
"f__Sclerococcaceae",0,0,0,0,0,0,5,0,20,0,0,0,1,0,12,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,39,0,0,17,0,0,0,0,0,100,0,0,6,0,0,15,0,0,3,0,0,6,0,0,0,2,0,0,65,0,0,48,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0
"f__Trichosporonaceae",0,2,8,1,1,0,0,0,0,0,0,0,0,0,1,11,0,30,0,0,15,0,16,2,0,0,345,11,20,0,0,3,0,18,0,2,12,0,0,0,0,0,0,0,43,0,29,0,0,0,0,0,6,0,0,9,4,0,0,0,0,13,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,26,0,0,16,0,0,1,0,0,14,0,0,0,0,0,2,0,0,3,0,0,3,0,0,0,3,0,0,5,0,2,22,8,25,7,0,0,0,12,0,3,0,0,39,0,0,0,0,0,9,3,3,5,0,7,5,8,1,1,12,0,20,0,0,0
"f__Schizoporaceae",0,2,0,4,2,0,0,0,30,0,0,31,7,2,46,0,0,46,0,4,25,0,14,67,74,12,50,0,4,0,0,6,4,0,9,0,60,0,0,0,0,0,0,0,76,115,41,6,14,0,0,0,20,47,0,21,21,8,0,0,9,10,0,10,32,4,0,3,0,0,0,0,0,0,41,0,0,17,8,0,91,0,0,40,2,2,23,4,1,9,0,7,53,0,9,94,0,0,0,0,0,1,84,57,13,49,13,7,19,0,0,121,0,4,15,30,4,24,4,10,27,0,0,0,3,41,15,9,1,0,0,6,10,4,2,29,18,3,83,0,1,86
"f__Pezizales_fam_Incertae_sedis",0,0,464,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,6,0,0,12,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,12,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,5,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,91,0,59,0
"f__Buckleyzymaceae",0,0,0,0,43,0,2,0,0,0,24,14,0,13,0,0,0,0,6,9,0,0,0,0,1,47,0,0,0,1,13,0,0,0,0,24,0,0,0,0,14,0,0,5,0,0,0,14,0,0,13,0,0,0,0,0,3,7,0,0,0,17,0,1,2,13,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,151,0,8,0,59,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,9,3,0,0,3,0,0,18,0,2,3,0,0,0,0,3,5,0,13,78,0,0,5,0
"f__Aspergillaceae",0,434,42,4,0,13,13,5,0,23,0,15,11,2,9,5,3,15,0,0,0,0,3,5,4,198,118,9,0,0,6,11,6,29,9,0,53,3,3,0,0,0,0,0,58,0,60,0,12,62,1,2,21,0,0,57,2,0,0,0,8,11,0,0,31,0,0,0,0,0,9,4,14,0,80,7,0,23,0,0,30,14,0,33,0,0,12,4,3,15,0,0,76,0,0,210,0,0,63,0,0,5,73,5,0,37,6,0,76,0,0,137,0,0,21,9,0,9,5,0,138,0,0,16,0,2,23,4,1,0,13,0,17,7,0,42,69,51,90,0,0,62
"f__Agaricales_fam_Incertae_sedis",32,0,8,0,2,5,0,0,4,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,8,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,456,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,9,0,0,0,0,79,0,0,24,0,0,348,10,24,5,16,0,410,0,0,0,0
"f__Taphrinaceae",0,5,0,0,8,0,0,14,3,60,0,0,0,43,6,0,6,0,0,1,0,0,0,0,0,74,0,0,0,0,45,4,16,1,14,56,3,148,0,0,31,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,27,0,0,2,0,2,3,0,0,36,0,0,26,0,0,24,0,0,0,83,0,0,0,0,11,19,0,3,6,0,0,8,0,2,7,1,2,5,0,2,23,0,0,15,7,3,0,0,1,0,2,5,0,2,0,4,0,4,12,0
"f__Stephanosporaceae",0,0,0,0,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,31,0,0,0,0,0,0,0,4,0,7,3,0,33,0,1,66,0,0,58,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,65,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,35,0,0,32,0,0,0,8,0,0,0,0,0,0,2,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,4,0,0,30,0,0,5,0,743,12
"f__Bartaliniaceae",0,0,0,0,351,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"f__Schizosaccharomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,3,0,41,4,0,0,0,30,0,0,0,0,0,0,0,0,0,8,220,4,104,0,0,0
"f__Stachybotryaceae",8,0,12,1,5,0,23,7,22,0,13,0,22,0,9,0,0,36,0,7,0,0,0,6,0,0,49,0,0,3,0,69,1,7,0,15,28,0,7,0,2,0,0,0,4,0,20,0,0,14,11,7,2,0,0,0,18,12,0,21,48,9,0,6,0,8,3,0,4,2,0,12,0,0,0,0,1,37,0,1,7,0,9,4,17,4,0,33,32,8,0,0,5,11,0,17,0,0,107,2,0,0,20,0,0,2,5,0,30,5,0,0,0,9,11,7,4,0,5,4,18,2,0,0,3,15,15,13,0,1,0,21,0,9,6,0,20,29,9,30,0,12
"f__Valsariaceae",0,0,6,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,22,0,0,0,0,64,0,0,0,8,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,94,0,1,0,0,0,2,0,0,0,3,0,2,0,0,10,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,4,0,0,0,0,0,6,8,4,0,0,5,6,2,0,28,0,0,0,0,0,2,3,0,33,0,0,0,0,2,3,9,17,0,0,0,0,0,7,4,5,6,0,0,21,0,3
"f__Pestalotiopsidaceae",0,1,0,0,0,0,2,0,0,0,10,3,0,1,0,5,0,16,4,24,0,9,13,0,0,8,2,8,7,0,603,50,5,8,9,70,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,12,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,1,5,0,0,4,8,0,36,0,0,13,0,0,0,0,0,0,6,0,0,1,0,6,0,0,3,0,0,2,0,0,10,2,0,0,0,2,0,0,6,0,1,0,2,5,9,3,4,5,0,6,6,2,0,0,68,12,8,4,0,0,0,0,0,0,6,34,32,8,2,1,0
"f__Cordycipitaceae",1,0,59,0,0,0,7,1,0,0,1,15,8,0,0,0,0,22,0,5,0,0,0,0,4,0,0,8,0,0,0,9,0,3,3,0,7,0,0,0,0,0,0,0,11,0,0,3,9,10,0,0,8,45,0,30,0,5,0,3,2,10,0,0,6,0,1,0,0,0,6,2,0,0,18,0,0,5,0,0,5,0,1,0,0,3,0,12,10,2,0,0,15,0,4,7,0,0,6,5,6,0,0,0,0,0,7,2,25,0,0,42,0,2,15,0,0,0,0,1,5,0,0,0,0,14,14,0,2,0,0,86,21,4,5,34,17,11,3,0,11,8
"f__Amorosiaceae",0,10,0,0,46,0,0,49,0,0,11,0,21,0,0,5,6,10,0,0,0,0,0,0,0,0,0,13,0,0,2,6,4,1,4,7,15,4,0,0,5,0,0,0,0,0,0,0,20,12,2,3,0,0,0,0,0,0,0,3,0,0,0,4,8,0,3,2,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,0,0,0,0,5,6,0,0,11,0,0,0,5,4,0,4,7,0,10,0,26,120,0,0,0,12,0,0,2,6,0,0,0,0,0,8,2,7,0,0,0,4,15,11,10,4,6,3,2,5,30,0
"f__Agaricomycotina_fam_Incertae_sedis",0,0,0,0,0,0,0,0,87,0,0,0,0,0,52,0,0,68,0,0,26,0,0,149,0,0,15,0,80,0,0,9,0,81,0,0,8,0,121,0,0,0,0,0,20,0,57,0,3,54,0,0,4,0,0,44,0,0,0,0,0,3,0,0,5,0,13,0,0,0,0,0,0,0,156,0,0,39,0,0,24,0,0,0,31,0,61,0,0,5,0,0,38,0,0,44,0,0,13,0,0,0,102,0,0,62,0,0,54,0,0,61,0,0,32,0,0,19,0,0,19,0,0,0,0,0,0,0,0,27,0,3,11,0,1,23,3,0,266,0,0,268
"f__Dermateaceae",0,0,14,7,31,0,0,12,0,0,1,30,0,15,0,0,0,30,0,13,12,35,10,14,1,15,17,3,6,1,0,8,2,0,7,5,5,3,0,0,0,0,0,29,0,0,6,4,0,12,0,0,0,0,5,0,4,0,0,0,0,27,0,2,0,0,0,0,0,0,0,0,9,0,0,0,76,2,0,0,0,0,4,0,8,3,0,0,0,2,0,0,4,0,9,0,0,0,0,0,0,42,0,2,0,0,1,10,0,0,0,0,0,0,0,0,31,0,0,0,0,0,5,0,0,41,34,10,143,0,0,3,15,7,46,1,10,311,4,8,8,0
"f__Cystobasidiales_fam_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,6,0,0,0,1,0,2,28,4,0,0,1,11,0,66,0,0,0,0,0,2,2,0,0,3,0,0,0,2,0,0,1,0,2,2,0,8,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,15,4,0,3,0,14,1,0,0,0,0,0,3,3,0,60,0,0,0,30,0,7,0,2,5,7,0,4,6,0,0,0,0,0,0,0,0,4,0,0,8,0,0,12,0,1,0,0,0,10,0,0,9,0,0,0,0,2,7,7
"f__Polyporaceae",0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,17,0,49,22,3,4,0,0,29,22,0,0,10,23,1,89,2,0,3,0,0,0,0,0,4,5,0,7,0,0,0,65,3,0,10,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,171,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,85,0,14,0,3,6,0,0,0,0,0,26,0,29,229,16,11,0,0,0,5,0,3,14,4,26,3,12,82,9,24,0,7,0,0,19,0,0,10,0,0,0,0,7,12,13,75,14,28,18,5,1
"f__Cystobasidiaceae",0,20,0,0,0,3,4,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,2,1,0,0,10,0,0,29,0,12,0,4,24,4,34,0,0,0,0,0,7,6,0,4,0,7,12,0,0,0,0,1,0,3,0,0,5,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,12,4,2,5,0,0,7,0,3,14,17,0,0,8,2,0,0,10,3,0,326,0,14,0,0,0,5,0,0,14,6,0,1,1,7,4,8,0,0,0,0,78,0,0,0,8,1,5,1,0,7,2,0,10,0,21,6,41,0,0,0
"f__Hyaloriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,39,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0
"f__Sclerotiniaceae",0,0,0,0,0,0,0,0,0,0,112,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,485,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,3
"f__Strelitzianaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,12,0,6,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,12,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,13,6,0
"f__Schizoparmaceae",0,0,0,0,3,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,209,0,0,0,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0
"f__Agaricaceae",0,0,26,0,3,0,11,4,16,0,0,24,0,0,47,42,0,16,0,6,61,0,23,23,0,3,60,17,217,0,7,25,3,14,0,34,36,0,0,0,4,0,0,10,28,0,3,16,5,19,14,3,56,0,0,77,37,0,0,0,3,87,21,0,21,11,0,0,0,0,0,6,118,0,164,0,0,10,0,0,85,0,0,103,19,0,98,0,7,0,52,13,109,96,11,741,0,0,33,9,0,2,84,14,0,51,3,6,145,0,15,196,0,10,7,30,26,36,5,8,167,0,0,0,26,1,18,11,2,0,0,13,15,2,30,72,40,13,29,27,0,73
"f__Exidiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,588,8,0,0,0,13,0,0,32,0,0,0,0,0,0,0,0,0,2,3,17,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,9,12,0,0,0,0,0,0,0,0,12,6,23,0,1,2,2,0,0,0,33,0,0,8,20,0,0,0,0,9,0,0,0,0,0,0,2,4,0,0,7,16,3,2,0,12,0,20,0,0,6
"f__Bolbitiaceae",0,0,448,0,0,0,15,0,9,0,0,0,0,10,14,0,6,49,0,0,0,0,24,2,11,0,0,6,25,0,23,14,0,16,12,18,335,5,0,0,2,0,0,0,18,0,16,0,4,0,0,0,0,0,4,23,0,0,323,0,7,0,0,13,0,0,10,0,0,0,2,0,0,0,42,0,0,6,0,4,90,0,3,33,8,2,0,0,8,25,52,0,40,0,10,27,0,0,25,0,0,2,19,5,15,11,22,0,18,3,7,0,0,2,4,17,7,32,5,0,68,0,0,0,0,10,41,8,0,0,0,0,42,7,11,1,62,61,26,57,6,0
"f__Peniophoraceae",0,29,0,0,10,0,7,0,4,0,0,0,0,5,0,0,0,0,0,0,0,26,45,0,56,17,0,0,0,0,0,0,0,0,3,34,1,14,0,0,0,0,0,1,3,0,0,96,4,10,0,0,19,0,0,0,11,0,0,0,80,0,17,4,0,41,0,0,0,0,7,38,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3,131,15,3,0,0,12,0,0,0,0,0,110,6,86,76,0,18,0,17,0,3,24,2,2,8,0,9,3,12,0,0,0,27,0,0,24,29,4,0,0,0,1,0,0,304,0,11,35,10,0,2,2
"f__Tzeananiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,16,0,0,0,3,10,8,17,0,14,0,3,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,20,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,0,8,7,2,1,0,0,9,1,16,3,0,0,0,1,0,1,0
"f__Plectosphaerellaceae",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,7,118,0,10,0,0,0,0,0,0,0,21,0,43,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,81,0,0,7,0,0,0,1,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,0,0,14,0,0,0,0,0,0,0,0,21
"f__Nigrogranaceae",0,0,12,0,0,0,4,0,0,0,0,0,0,0,25,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,7,66,0,0,0,0,0,0,6,0,25,0,0,0,0,0,20,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,34,0,0,39,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,4,7,0,0,0,1,0,0,0,0,0,0,0,0,5,11,0,0,18,11,1,21,0,5,8,9,17,15
"f__Herpotrichiellaceae",7,1,3,2,0,17,11,22,30,0,4,0,1,0,15,0,0,11,0,8,0,0,7,0,33,2,0,8,0,0,32,11,85,48,0,16,192,89,0,0,0,21,3,0,3,0,0,19,8,2,40,0,7,0,0,8,2,0,0,0,0,0,0,0,2,14,0,0,8,0,2,0,0,0,0,0,0,0,0,0,6,26,1,2,163,26,5,8,0,0,157,0,0,0,9,13,0,0,72,0,9,0,5,178,0,51,14,7,8,5,22,24,0,6,1,20,0,25,1,2,2,12,0,0,0,1,6,0,0,0,0,11,27,0,7,18,44,17,10,5,14,4
"f__Microbotryaceae",0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,7,19,0,0,0,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,10,0,0,5,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"f__Magnaporthaceae",0,0,0,0,45,0,0,0,3,0,9,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,25,0,0,13,0,2,0,0,0,9,319,0,0,0,0,0,13,0,0,0,0,5,17,0,0,0,0,0,12,0,0,0,3,4,0,0,2,0,3,0,5,0,0,0,0,0,0,37,0,0,12,0,0,0,0,33,13,0,13,0,0,2,0,0,0,10,0,0,1,0,0,7,0,0,9,0,0,0,0,1,6,16,0,0,16,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,2,7,0
"f__Geastrales_fam_Incertae_sedis",0,0,0,0,0,0,0,0,70,0,0,70,0,0,22,0,4,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,45,0,10,0,0,0,0,0,16,0,0,7,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6,1,0,0,26,0,0,16,0,0,12,0,0,12,0,0,10,0,10,38,0,0,34,0,0,0,28,0,0,8,0,0,23,0,0,15,0,0,0,0,0,1,6,0,45,0,0,0,0,0,0,0,0,62,0,0,17,1,3,0,0,0,11,0,0,22
"f__Omphalotaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,72,6,0,0,3,96,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,4,0,0,0,0,19,9,0,0,0,0,0,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,0,1,0,2,0,27,251,0,0,45,0,6,3,0,0,1,0,0,2,0,5,0,0,0,11,0,0,20,15,3,15,0,36,20,0,12,0,0,0,0,0,0,8,0
"f__Orbiliomycetes_fam_Incertae_sedis",0,28,0,0,0,0,0,0,0,0,6,0,0,1,6,0,4,0,0,5,0,0,0,0,0,10,0,6,0,0,0,0,0,1,0,2,7,0,0,0,0,63,0,0,4,0,0,0,2,17,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,26,0,0,0,0,0,4,0,6,0,0,1,12,0,5,0,11,0,6,0,0,7,0,22,7,0,0,0,0,0,0,14,9,0,14,16,4,0,0,17,0,0,3,0,0,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,14,0,2,13,23,3,0,4,9,20,26
"f__Dothideomycetes_fam_Incertae_sedis",0,0,0,0,2,0,0,8,51,0,0,0,0,15,0,0,36,0,0,0,0,0,31,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,8,94,13,0,0,0,0,0,18,0,0,0,0,0,0,6,0,125,15,0,0,177,170,0,17,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,22,0
"f__Cystofilobasidiales_fam_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"f__Chrysozymaceae",0,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0
"f__Chaetothyriales_fam_Incertae_sedis",31,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,194,0,0,151,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,20,0,39,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
"f__Aplosporellaceae",5,0,16,0,0,0,0,0,0,0,15,0,40,10,0,0,5,14,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,25,7,0,0,0,0,3,0,0
